Source title,Starting_Year
"ASEE Annual Conference and Exposition, Conference Proceedings",2006
Optics InfoBase Conference Papers,1993
Proceedings of SPIE - The International Society for Optical Engineering,2001
Proceedings of the ASME Design Engineering Technical Conference,2005
Proceedings of the International Telemetering Conference,1993
